key	source_file	expected_count	source_text_json	zh_CN_json	surface	notes
PHASE_PREPARING	patch/src/main/java/io/kamihama/magianative/CNCNDownloadUI.java	1	"准备中"	"准备中"	ui	
DETAIL_INITIALISING	patch/src/main/java/io/kamihama/magianative/CNCNDownloadUI.java	1	"正在初始化下载器…\n台词与前端脚本（热更新内容）已排在最前，先下完即可用上最新汉化"	"正在初始化下载器…\n台词与前端脚本（热更新内容）已排在最前，先下完即可用上最新汉化"	ui	
CREDIT_TITLE	patch/src/main/java/io/kamihama/magianative/CNCNDownloadUI.java	1	"魔法纪录Totentanz中文化"	"魔法纪录Totentanz中文化"	credits	
CREDIT_CORE	patch/src/main/java/io/kamihama/magianative/CNCNDownloadUI.java	1	"【核心逆向开发】MadeInMagius【B站ID】"	"【核心逆向开发】MadeInMagius【B站ID】"	credits	
CREDIT_CORE_NOTE	patch/src/main/java/io/kamihama/magianative/CNCNDownloadUI.java	1	"(独立完成汉化引擎以及下载系统和日服国服资源合并)"	"(独立完成汉化引擎以及下载系统和日服国服资源合并)"	credits	
CREDIT_SITES_HEADING	patch/src/main/java/io/kamihama/magianative/CNCNDownloadUI.java	1	"其他个人网站"	"其他个人网站"	credits	
CREDIT_MAGIREADER	patch/src/main/java/io/kamihama/magianative/CNCNDownloadUI.java	1	"magireader.pages.dev【魔法纪录剧情中日双语阅读网站】"	"magireader.pages.dev【魔法纪录剧情中日双语阅读网站】"	credits	
CREDIT_LIVE2D	patch/src/main/java/io/kamihama/magianative/CNCNDownloadUI.java	1	"magiaexedralive2dviewer.pages.dev【MagiaExedra和魔法纪录Live2D网站】"	"magiaexedralive2dviewer.pages.dev【MagiaExedra和魔法纪录Live2D网站】"	credits	
CREDIT_CALL_SEARCH	patch/src/main/java/io/kamihama/magianative/CNCNDownloadUI.java	1	"magireco-call-search-cn.pages.dev【魔法少女称呼关系搜索与身高对比网站】"	"magireco-call-search-cn.pages.dev【魔法少女称呼关系搜索与身高对比网站】"	credits	
CREDIT_THANKS_HEADING	patch/src/main/java/io/kamihama/magianative/CNCNDownloadUI.java	1	"【协助与鸣谢】"	"【协助与鸣谢】"	credits	
CREDIT_TRANSLATION	patch/src/main/java/io/kamihama/magianative/CNCNDownloadUI.java	1	"国服文件之外的翻译和校对：水银h2oag【阅读器网站为主，资源已同步至游戏】"	"国服文件之外的翻译和校对：水银h2oag【阅读器网站为主，资源已同步至游戏】"	credits	
CREDIT_DELIVERY	patch/src/main/java/io/kamihama/magianative/CNCNDownloadUI.java	1	"下载加速及资源自动化推送：CyberNova"	"下载加速及资源自动化推送：CyberNova"	credits	
CREDIT_ARCHIVE	patch/src/main/java/io/kamihama/magianative/CNCNDownloadUI.java	1	"国服数据留存：segfault"	"国服数据留存：segfault"	credits	
