# 原文	译文	风险	出现次数	出现于
閉じる	关闭		95	js/_common/ajaxControl.js,js/campaign/box_gacha/CampaignBoxGachaTop.js,js/chara/CharaCompose.js,…共55处
キャンセル	取消		76	js/_common/router.js,js/campaign/box_gacha/CampaignBoxGachaTop.js,js/chara/CharaCompose.js,…共50处
エラー	错误	疑似碎片	30	js/_common/base.js,js/camera/CameraTop.js,js/event/EventArenaRankMatch/Result.js,…共19处
遊び方	玩法		27	template/arena/ArenaRanking.html,template/campaign/box_gacha/CampaignBoxGachaTop.html,template/campaign/quiz/CampaignQuizTop.html,…共27处
ミッション	任务		25	js/_common/nativeCommand.js,js/_common/nativeCommand2.js,js/event/dungeon/EventDungeonMap.js,…共22处
まで		疑似碎片	23	js/event/EventArenaRankMatch/Result.js,js/event/EventWitch/Model.js,js/event/arenaranking/view/EventArenaResultView.js,…共18处
チーム	队伍	疑似碎片	22	js/event/accomplish/EventAccomplishDeck.js,js/formation/DeckFormation.js,js/formation/DeckFormationUtil.js,…共7处
編成エラー	编成错误		19	js/event/accomplish/EventAccomplishDeck.js,js/formation/DeckFormation.js,js/formation/DeckFormationUtil.js,…共5处
お知らせ	公告		16	js/_common/backboneCommon.js,js/campaign/box_gacha/CampaignBoxGachaTop.js,js/event/arenaMission/EventArenaMissionTop.js,…共9处
メモリアセット	记忆结晶组合		12	js/memoria/MemoriaSetEquip.js,js/memoria/MemoriaSetList.js,template/memoria/MemoriaComposeTop.html,…共5处
よろしいですか？	确定吗？		12	template/campaign/box_gacha/CampaignBoxGachaTop.html,template/chara/CharaBulkCustomizePopup.html,template/event/EventArenaRankMatch/parts/AttackCountPopup.html,…共10处
対戦相手の変更	更换对手		11	js/event/arenaMission/EventArenaMissionStage.js,js/event/arenaMission/view/ArenaConfirmView.js,js/event/arenaranking/view/EventArenaConfirmView.js,…共6处
バトルログ	战斗记录		11	js/event/dailytower/EventDailyTowerTop.js,js/regularEvent/groupBattle/RegularEventGroupBattleTop.js,template/event/dailytower/EventDailyTowerTop.html,…共9处
回復する	回复		11	js/event/EventArenaRankMatch/parts/AttackCount.js,js/event/EventArenaRankMatch/parts/AttackCountItemPopup.js,js/event/accomplish/EventAccomplishRecovery.js,…共11处
APが不足しています	AP 不足		10	js/event/EventWalpurgis/Utility.js,js/event/EventWitch/Utility.js,js/event/branch/EventBranchTop.js,…共7处
あと		疑似碎片	10	js/chara/CharaCompose.js,js/view/user/GlobalMenuView.js,template/arena/ArenaFreeRank.html,…共9处
\\x3cp class\\x3d"noMission ts_white"\\x3e挑戦できるミッションがありません\\x3c/p\\x3e			10	js/regularEvent/groupBattle/RegularEventGroupBattleTop.js,js/view/mission/MissionTopListView.js,js/view/mission/MissionTopView.js
アーカイブ	回顾		10	template/event/EventWitch/page/Top.html,template/event/accomplish/EventAccomplishTop.html,template/event/branch/EventBranchTop.html,…共9处
マイページへ	返回主页		9	js/campaign/summer_mission/CampaignSummerMissionTopListView.js,js/user/BackgroundSet.js,js/view/mission/MissionTopListView.js,…共7处
クエスト確認	关卡确认		9	js/event/branch/EventBranchTop.js,js/event/raid/EventRaidTop.js,js/event/storyraid/EventStoryRaidTop.js,…共6处
を		疑似碎片	9	js/chara/CharaCompose.js,js/chara/CharaTop.js,template/campaign/box_gacha/CampaignBoxGachaTop.html,…共8处
ミラーズトップへ	返回镜界首页		8	js/event/arenaranking/view/EventArenaConfirmView.js,js/event/arenaranking/view/EventArenaRankingView.js,js/view/arena/ArenaConfirmView.js,…共4处
<p class="noMission ts_white">全てのミッションをクリアしました</p>		HTML片段	8	js/event/raid/EventRaidCloseTop.js,js/event/raid/EventRaidTop.js
サポートPt	支援Pt		8	js/_common/nativeCommand.js,js/_common/nativeCommand2.js,js/gacha/GachaResult.js,…共6处
マギアストーン	魔法石		8	js/gacha/GachaResult.js,js/view/gacha/GachaTopView2.js,js/view/user/APPopup.js,…共6处
