line	rule	ja	current_zhCN	confidence	reason	old_cn_arm64_occurrences	old_cn_armv7_occurrences
2	exact	いいえ	否	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
3	exact	戻る	返回	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
4	exact	その他	其他	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
5	exact	キーボード入力: %s	键盘输入: %s	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
6	exact	環 いろは	环伊吕波	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
7	exact	不思議な夢の真相を探るべく、神浜市にやってきた魔法少女。お人好しな性格で、気遣いが行き過ぎてしまうことも多々ある。最新の流行には疎く、スマホの扱いもぎこちない。日頃は控えめだが、ここ一番では芯の強さを見せる。	为了探寻不可思议之梦的真相而来到神滨市的魔法少女。性格老好人，常常为别人操心过度。不赶最新潮流，用智能手机也很笨拙。平日低调内敛，关键时刻却展现出内心的坚强。	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
8	exact	(CV:麻倉もも)	(CV:麻仓桃)	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
9	exact	通信エラー	通信错误	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
10	exact	ネットワーク接続に失敗しました。再接続しますか？	网络连接失败。要重新连接吗？	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
11	exact	データダウンロード	数据下载	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
12	exact	魔法少女の画像や音声、ムービー等、ゲームに必要なデータをダウンロードします。	将下载魔法少女的图片、语音、影片等游戏所需数据。	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
13	exact	「ダウンロードしない」を選択した場合、ボイス、ムービーは再生されません。	选择「不下载」的话，将无法播放语音和影片。	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
14	exact	※ゲーム開始後に変更、再ダウンロードすることも可能です。	※游戏开始后也可以更改并重新下载。	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
15	exact	"データ数が多いためWi-Fi環境でのダウンロードをお勧めします。
プロローグ中もダウンロードを継続していますのでWi-Fi環境でのプレイをお勧めします。"	"数据量较大，建议在Wi-Fi环境下下载。
序章期间也会继续下载，建议在Wi-Fi环境下游玩。"	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
16	exact	データの整合性チェック中です。	正在检查数据完整性。	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
17	exact	ダウンロードエラー	下载错误	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
18	exact	"ダウンロードしたファイルを保存できません。
端末の空き容量などご確認ください。"	"无法保存已下载的文件。
请检查设备的剩余空间。"	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
19	exact	リトライ	重试	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
20	exact	データのダウンロード開始します。	开始下载数据。	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
21	exact	【データサイズ：	【数据大小：	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
22	exact	※Wi-Fi環境でのダウンロードをお勧めします。	※建议在Wi-Fi环境下下载。	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
23	exact	後でダウンロード	稍后下载	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
