record_id,layer,source_container_absolute,source_plist,atlas_texture_path,frame_name,source_locator_absolute,source_locator_repo_relative,export_path,atlas_x,atlas_y,atlas_packed_width,atlas_packed_height,trimmed_width,trimmed_height,logical_width,logical_height,offset_x,offset_y,rotated,format,width,height,mode,frames,has_alpha,encoded_sha256,pixel_sha256,phash64,encoded_bytes
L-FRAME-00001,logical_frame,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,assets/package/download/data_download0.plist,assets/package/download/data_download0.png,dl_btn_download.png,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/assets/package/download/data_download0.plist#frame:dl_btn_download.png,assets/package/download/data_download0.plist#frame:dl_btn_download.png,atlas-frames/assets/package/download/data_download0/dl_btn_download.png,670,100,326,64,326,64,326,64,0.0,0.0,False,PNG,326,64,RGBA,1,True,C83C4E241A8BA0284532C2F7C01AAA84202C228802B2DC61B278B83323E7AAFE,90A2F267E16EC0DBAC326750444BD0A2DEECC6C33FDDFDFF2D97AAB7012C85B9,DBD5845DCE269159,15845
L-FRAME-00002,logical_frame,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,assets/package/download/data_download0.plist,assets/package/download/data_download0.png,dl_btn_download_push.png,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/assets/package/download/data_download0.plist#frame:dl_btn_download_push.png,assets/package/download/data_download0.plist#frame:dl_btn_download_push.png,atlas-frames/assets/package/download/data_download0/dl_btn_download_push.png,342,304,326,64,326,64,326,64,0.0,0.0,False,PNG,326,64,RGBA,1,True,02FE8BA3C6A4F65AB7F1888A0FCE45784F79CF7BEE9A0F4D40AE0805CB4A84FE,4F47B424B5FFF17012AF75EDB67B8A5A1A182EF084B3DBBA071D5CC085434967,DB91C44EE6769139,15780
L-FRAME-00003,logical_frame,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,assets/package/download/data_download0.plist,assets/package/download/data_download0.png,dl_checkbox_off.png,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/assets/package/download/data_download0.plist#frame:dl_checkbox_off.png,assets/package/download/data_download0.plist#frame:dl_checkbox_off.png,atlas-frames/assets/package/download/data_download0/dl_checkbox_off.png,834,2,40,40,40,40,40,40,0.0,0.0,False,PNG,40,40,RGBA,1,True,545B58BCC45BE4AB56DA00B74A711946E01D93521FA44173C35A593ACE00F986,CA639A270BB083EFC4DCD813621CA822BD761B0CAEE9AA1BC5AA5EB9E8D4F32E,85172F173F557A50,481
L-FRAME-00004,logical_frame,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,assets/package/download/data_download0.plist,assets/package/download/data_download0.png,dl_checkbox_on.png,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/assets/package/download/data_download0.plist#frame:dl_checkbox_on.png,assets/package/download/data_download0.plist#frame:dl_checkbox_on.png,atlas-frames/assets/package/download/data_download0/dl_checkbox_on.png,834,44,40,40,40,40,40,40,0.0,0.0,False,PNG,40,40,RGBA,1,True,48570748A76247E26F21902DAFADCD52DBA87A4A3B5CA4CD3B2181EAAF7C0728,7DA323CA80FD4E02AF70AFEB34048349B31D3F87E13BDCA7749A58693E67BBF4,C0CDD3362CCB7378,944
L-FRAME-00005,logical_frame,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,assets/package/download/data_download0.plist,assets/package/download/data_download0.png,dl_download_movie.png,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/assets/package/download/data_download0.plist#frame:dl_download_movie.png,assets/package/download/data_download0.plist#frame:dl_download_movie.png,atlas-frames/assets/package/download/data_download0/dl_download_movie.png,2,100,430,202,430,202,430,202,0.0,0.0,False,PNG,430,202,RGBA,1,True,80B122E0576392E2A6F9A5FFE0D6A9903A10670CD266ADF6E0F7586A8A5B8A09,66CA407137CBC29B6D055305A36677A63496F3BF0BFA9C3D1004F0E227E67A1E,BE12254F4B6D4A6D,12246
L-FRAME-00006,logical_frame,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,assets/package/download/data_download0.plist,assets/package/download/data_download0.png,dl_download_voice.png,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/assets/package/download/data_download0.plist#frame:dl_download_voice.png,assets/package/download/data_download0.plist#frame:dl_download_voice.png,atlas-frames/assets/package/download/data_download0/dl_download_voice.png,2,304,338,202,338,202,338,202,0.0,0.0,False,PNG,338,202,RGBA,1,True,B5771FE901467FAE746AD1F26E2FEEF81A1065D850B9468A2EB75E267436858F,3917489E9454B2009DDDA75107C9F5E131E4C00B24A514150BB2203A3A63A76B,EC2D075A5A537A5A,8170
L-FRAME-00007,logical_frame,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,assets/package/download/data_download0.plist,assets/package/download/data_download0.png,dl_loading_bar01.png,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/assets/package/download/data_download0.plist#frame:dl_loading_bar01.png,assets/package/download/data_download0.plist#frame:dl_loading_bar01.png,atlas-frames/assets/package/download/data_download0/dl_loading_bar01.png,2,2,830,80,830,80,830,80,0.0,0.0,False,PNG,830,80,RGBA,1,True,545D0A5B67306C53EC2A97AFD582E27F2AA67880A4042221E0F23DA61840F78E,8806ED333F8402F2722C274AFA7CE6FBFF0EBB44BBFD7E21E2F83FF540B3908D,DEC3CD383AD4D42A,1709
L-FRAME-00008,logical_frame,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,assets/package/download/data_download0.plist,assets/package/download/data_download0.png,dl_loading_bar02.png,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/assets/package/download/data_download0.plist#frame:dl_loading_bar02.png,assets/package/download/data_download0.plist#frame:dl_loading_bar02.png,atlas-frames/assets/package/download/data_download0/dl_loading_bar02.png,2,84,766,14,766,14,766,14,0.0,0.0,False,PNG,766,14,RGBA,1,True,E2CF3ECF92BC1E4FBE9D24A349087A98EA55A8CEF081E151D7D0EA6AF244573B,01FC2DAA33A2543891DBBD81BCE8C70E3AE7666B6A65DE3B7C197DC2667FBE88,9DF3481C62E35D1D,4643
L-FRAME-00009,logical_frame,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,assets/package/download/loading_data.plist,assets/package/download/loading_data.png,loading_data_01.png,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/assets/package/download/loading_data.plist#frame:loading_data_01.png,assets/package/download/loading_data.plist#frame:loading_data_01.png,atlas-frames/assets/package/download/loading_data/loading_data_01.png,1,1,192,24,192,24,192,24,0.0,0.0,False,PNG,192,24,RGBA,1,True,038108ED5FF620B7E61505C890BBB7719813E772BA1E1B96414B065159154A1A,C534A1F5462F2F3D12E1624D6A2EAB101C73466E3C2179FDF9D198CFB00100FB,D06E2F909873F22F,2217
L-FRAME-00010,logical_frame,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,assets/package/download/loading_data.plist,assets/package/download/loading_data.png,loading_data_02.png,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/assets/package/download/loading_data.plist#frame:loading_data_02.png,assets/package/download/loading_data.plist#frame:loading_data_02.png,atlas-frames/assets/package/download/loading_data/loading_data_02.png,1,27,192,24,192,24,192,24,0.0,0.0,False,PNG,192,24,RGBA,1,True,9B71DE463703C6C27C865EA275FE71469D91A9380D722008C9EE1FE4A3551C49,EF40AD92AD7E2E49D9384CBDDD31CE3C4969EADFF166BFC458343F0761BFC746,D06E2F909873F22F,2284
