record_id,layer,physical_kind,source_container_absolute,source_archive_entry,source_plist,logical_texture_name,source_locator_absolute,source_locator_repo_relative,export_path,format,width,height,mode,frames,has_alpha,encoded_sha256,pixel_sha256,phash64,encoded_bytes
P-DIRECT-0001,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/abc_ab_share_pack_mtrl_alpha.9.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/abc_ab_share_pack_mtrl_alpha.9.png,res/drawable-hdpi/abc_ab_share_pack_mtrl_alpha.9.png,all-images/res/drawable-hdpi/abc_ab_share_pack_mtrl_alpha.9.png,PNG,24,24,LA,1,True,991F73BE600AD8821A6743DB54AF513F9B047058E95066E22FCDD1D72032BC58,8AA8CE3BD2E42C741B6CB5D289F45473D9F0B6D7E296C51ED1980F118D427662,91CC4CC73BC56E1B,272
P-DIRECT-0002,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/abc_btn_check_to_on_mtrl_000.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/abc_btn_check_to_on_mtrl_000.png,res/drawable-hdpi/abc_btn_check_to_on_mtrl_000.png,all-images/res/drawable-hdpi/abc_btn_check_to_on_mtrl_000.png,PNG,48,48,LA,1,True,E32C51210D0EBB45BDC7913AA243E5371D160D59398B5807AEF31846C9907347,29D01C74C478C0ECC38FAAD65780815DC80D53D69CF96BC1B0488DF62292FC35,FC83F434CBC80BCB,286
P-DIRECT-0003,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/abc_btn_check_to_on_mtrl_015.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/abc_btn_check_to_on_mtrl_015.png,res/drawable-hdpi/abc_btn_check_to_on_mtrl_015.png,all-images/res/drawable-hdpi/abc_btn_check_to_on_mtrl_015.png,PNG,48,48,LA,1,True,1F1A2940432BCFE00B1FEF27EFE73E7CE24A956EF5E628EB4DC903BCF3B55AED,F2D0F84C74D5C583CE82030D6BEE6900EA748B6B2B5403C29BE734BD4F70CAE0,A93396CCCB333CCC,537
P-DIRECT-0004,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/abc_btn_radio_to_on_mtrl_000.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/abc_btn_radio_to_on_mtrl_000.png,res/drawable-hdpi/abc_btn_radio_to_on_mtrl_000.png,all-images/res/drawable-hdpi/abc_btn_radio_to_on_mtrl_000.png,PNG,48,48,LA,1,True,C1B657E028594C12158CDA195F3409F741298179077A3A61C4881FD8D7E8899B,8997BBBF979040975EC2F54E6C9E3F2F168859BEA052DE3BDAA411644CD5214A,FC0BF0B6CBF41C09,565
P-DIRECT-0005,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/abc_btn_radio_to_on_mtrl_015.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/abc_btn_radio_to_on_mtrl_015.png,res/drawable-hdpi/abc_btn_radio_to_on_mtrl_015.png,all-images/res/drawable-hdpi/abc_btn_radio_to_on_mtrl_015.png,PNG,48,48,LA,1,True,80779CEA7BE4DD5108CBE2F231DDF787A07190A85BA189C0CECECBB239D5E6FA,1B880B7D4B6E3B89DBE6B0698E0B15A257E58FB1C9A9CAAD4F9A5AA356D60ACF,F64BD4F403F4C949,687
P-DIRECT-0006,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/abc_btn_switch_to_on_mtrl_00001.9.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/abc_btn_switch_to_on_mtrl_00001.9.png,res/drawable-hdpi/abc_btn_switch_to_on_mtrl_00001.9.png,all-images/res/drawable-hdpi/abc_btn_switch_to_on_mtrl_00001.9.png,PNG,41,41,LA,1,True,9F849BCD788ADCEB32F4C1A5AA892749BD1E244A3787BFBFBD30D3B6F5D8E9DB,A426916DC2502E49524259F3FCB6285873D4BBC0DCC6B35D33B7433306DF95E0,D6D12F4B342DF634,1096
P-DIRECT-0007,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/abc_btn_switch_to_on_mtrl_00012.9.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/abc_btn_switch_to_on_mtrl_00012.9.png,res/drawable-hdpi/abc_btn_switch_to_on_mtrl_00012.9.png,all-images/res/drawable-hdpi/abc_btn_switch_to_on_mtrl_00012.9.png,PNG,41,41,LA,1,True,AB94AFCB2BB325544C0C1103BF5109B827BF070F441FAEF909F856AE295A1CF0,044BAA50851C6CBA1755E8D66723765AA344D4345015E229E1B53874E366789F,C2C03F9F357CE268,1243
P-DIRECT-0008,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/abc_cab_background_top_mtrl_alpha.9.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/abc_cab_background_top_mtrl_alpha.9.png,res/drawable-hdpi/abc_cab_background_top_mtrl_alpha.9.png,all-images/res/drawable-hdpi/abc_cab_background_top_mtrl_alpha.9.png,PNG,36,36,LA,1,True,67E701476927078D89AB0BBB39FFF12D69702592A7A428237A21168A21EC1038,D3D2275501EAF89E6C8718511BF83027CC2F44CBEAE884247740C9E8482724AF,D6D639D629D629D6,226
P-DIRECT-0009,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/abc_ic_commit_search_api_mtrl_alpha.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/abc_ic_commit_search_api_mtrl_alpha.png,res/drawable-hdpi/abc_ic_commit_search_api_mtrl_alpha.png,all-images/res/drawable-hdpi/abc_ic_commit_search_api_mtrl_alpha.png,PNG,48,48,LA,1,True,EFFD38F217713D7E0522D7D74E70C21A57F382E42CB2318A9AC00DFD25D5DFB0,1650E476217137CD8C60F089BECBD1DBB20695CF0A66AC728903FFD8261A0AA1,CECC3133CFCC9893,182
P-DIRECT-0010,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/abc_list_divider_mtrl_alpha.9.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/abc_list_divider_mtrl_alpha.9.png,res/drawable-hdpi/abc_list_divider_mtrl_alpha.9.png,all-images/res/drawable-hdpi/abc_list_divider_mtrl_alpha.9.png,PNG,1,1,L,1,False,378694706FB7256DD2248E2AF854EFD71EC7E8885F61DA2E16A2BD32FCF3D0A9,AF85444DFC9FC260EA2CF98C591573FE5F89E20A9409AAFC91636E2EFFDE8F78,D72929D639D6D729,167
P-DIRECT-0011,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/abc_list_focused_holo.9.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/abc_list_focused_holo.9.png,res/drawable-hdpi/abc_list_focused_holo.9.png,all-images/res/drawable-hdpi/abc_list_focused_holo.9.png,PNG,9,9,RGBA,1,True,260F8F0A3552565A6E78E62525A74BE24786C2BA55307DC631ECCB1EDB1D997C,DD8FD437B35A3BAA7C1DFAAEEEEB7AA735A1E3DA0DDD66C7CD44B26D84E8FC3E,F4CCCBC636F4380B,258
